City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,Chimbote,-9.0853,-78.5783,75.33,71,52,10.98,PE,2021-03-30 19:06:48
251,Varkaus,62.3153,27.873,37.4,93,0,6.91,FI,2021-03-30 19:06:48
252,Trincomalee,8.5711,81.2335,81.05,80,100,11.34,LK,2021-03-30 19:06:48
253,Bandarbeyla,9.4942,50.8122,78.55,67,95,9.15,SO,2021-03-30 19:06:48
254,Diffa,13.3154,12.6113,78.57,8,0,8.23,NE,2021-03-30 19:06:48
255,Itoman,26.1247,127.6694,71.6,88,40,2.3,JP,2021-03-30 19:04:00
256,Kavaratti,10.5669,72.642,84.47,71,43,6.6,IN,2021-03-30 19:06:49
257,Leh,34.1667,77.5833,32.13,75,98,6.62,IN,2021-03-30 19:06:49
258,Esperance,-33.8667,121.9,66.2,82,3,8.05,AU,2021-03-30 19:06:49
259,Tucuman,-26.8241,-65.2226,77.0,61,75,6.91,AR,2021-03-30 19:05:40
260,Isangel,-19.55,169.2667,77.88,88,100,8.63,VU,2021-03-30 19:06:49
261,Skelleftea,64.7507,20.9528,45.0,56,40,16.11,SE,2021-03-30 19:06:49
262,Vestmannaeyjar,63.4427,-20.2734,39.2,70,0,4.61,IS,2021-03-30 19:06:49
263,Mehamn,71.0357,27.8492,34.93,94,100,19.28,NO,2021-03-30 19:06:50
264,Avera,33.194,-82.5271,69.01,77,90,9.22,US,2021-03-30 19:06:50
265,Sun City West,33.662,-112.3413,82.0,10,1,3.44,US,2021-03-30 19:06:50
266,Luanda,-8.8368,13.2343,80.6,74,20,8.05,AO,2021-03-30 19:06:50
267,Mocuba,-16.8392,36.9856,69.93,95,98,3.42,MZ,2021-03-30 19:06:50
268,Dunedin,-45.8742,170.5036,55.0,88,58,5.01,NZ,2021-03-30 19:02:34
269,Svetlogorsk,52.6333,29.7333,45.01,81,100,8.66,BY,2021-03-30 19:06:50
270,Lardos,36.0942,28.0157,60.8,41,20,14.97,GR,2021-03-30 19:06:51
271,Komsomolskiy,40.4272,71.7189,41.0,70,7,4.61,UZ,2021-03-30 19:06:51
272,Bijar,35.8668,47.6051,46.67,30,46,7.4,IR,2021-03-30 19:06:52
273,Vagur,61.4732,-6.8119,40.46,76,100,19.17,FO,2021-03-30 19:06:52
274,Vardo,70.3705,31.1107,35.6,87,75,18.41,NO,2021-03-30 19:06:52
275,Canton,23.1167,113.25,80.01,78,75,4.47,CN,2021-03-30 19:06:30
276,Portland,45.5234,-122.6762,50.0,57,75,4.61,US,2021-03-30 19:06:52
277,Kinshasa,-4.3246,15.3215,84.2,65,20,2.3,CD,2021-03-30 19:02:53
278,Mamedkala,42.1677,48.1199,44.6,89,39,5.3,RU,2021-03-30 19:06:52
279,Saldanha,-33.0117,17.9442,64.4,77,7,5.75,ZA,2021-03-30 19:06:53
280,Haines Junction,60.7522,-137.5108,28.4,59,100,1.14,CA,2021-03-30 19:06:53
281,Salalah,17.0151,54.0924,84.2,54,0,2.3,OM,2021-03-30 19:06:53
282,Goderich,43.7501,-81.7165,60.8,39,100,23.02,CA,2021-03-30 19:06:53
283,Champerico,14.3,-91.9167,93.2,46,20,6.91,GT,2021-03-30 19:06:53
284,Sangar,63.9242,127.4739,-0.83,98,54,3.11,RU,2021-03-30 19:06:53
285,Vila Velha,-20.3297,-40.2925,88.0,65,20,16.11,BR,2021-03-30 19:06:53
286,Maniitsoq,65.4167,-52.9,33.33,95,100,45.14,GL,2021-03-30 19:06:54
287,Royan,45.6285,-1.0281,71.6,35,0,2.3,FR,2021-03-30 19:06:54
288,Karanja,20.4833,77.4833,85.35,13,29,11.54,IN,2021-03-30 19:06:54
289,Huejuquilla El Alto,22.6,-103.8667,81.75,11,1,7.4,MX,2021-03-30 19:06:54
290,Qandala,11.472,49.8728,84.18,44,100,5.64,SO,2021-03-30 19:06:54
291,Katsuura,35.1333,140.3,62.01,79,100,12.75,JP,2021-03-30 19:05:50
